,Year,Runtime (Minutes),Rating,Votes,Metascore,Revenue (Millions),imdb_avg_cast_pts,yga_avg_cast_rank,imdb_avg_director_pts,yga_avg_director_rank,genre_avg_rank,revenue_groups
599,2014,123,6.7,331902,64.0,337.1,37641.25,184.0,20883,0,2.6666666666666665,4
600,2011,112,7.5,104953,68.0,1.74,35531.0,1060.0,2393,0,7.333333333333333,1
601,2016,90,6.5,16164,87.0,14.01,11366.5,558.0,0,0,6.0,1
602,2013,130,5.9,112313,33.0,31.17,760.0,1123.0,0,0,7.333333333333333,2
603,2008,123,7.7,245144,36.0,69.95,31247.0,487.5,5785,0,7.0,3
604,2010,118,8.0,534388,88.0,138.8,36791.333333333336,749.6666666666666,16025,0,8.0,4
605,2008,96,7.6,54486,82.0,0.15,0.0,0.0,12290,0,8.0,1
606,2008,88,6.1,252503,35.0,80.17,27570.0,826.3333333333334,7058,140,2.6666666666666665,3
607,2010,103,8.3,586669,92.0,414.98,61865.5,263.75,0,0,4.333333333333333,4
608,2011,122,7.1,157053,85.0,24.1,66278.0,769.0,2058,0,7.333333333333333,2
609,2012,96,5.4,114144,39.0,42.35,8135.0,605.0,0,0,7.0,2
610,2016,151,7.8,23540,56.0,1.4,1370.0,0.0,0,0,7.0,1
611,2016,104,6.5,10708,0.0,1.36,33540.0,474.25,0,0,8.0,1
612,2014,105,5.5,90188,39.0,23.22,7790.0,736.0,0,0,2.0,2
613,2012,127,7.9,471109,79.0,124.98,8241.0,1448.0,18329,41,3.3333333333333335,4
614,2011,100,6.1,19636,0.0,0.2,11215.333333333334,398.3333333333333,0,0,6.0,1
615,2014,106,7.3,86271,57.0,0.33,5509.0,0.0,0,0,6.333333333333333,1
616,2007,128,7.2,347567,69.0,134.52,90295.0,693.3333333333334,0,0,3.3333333333333335,4
617,2007,111,6.5,73835,0.0,1.29,26535.0,722.5,5440,0,8.666666666666666,1
618,2012,106,7.0,494641,62.0,218.63,26658.0,475.75,0,0,5.0,4
619,2010,111,7.1,250012,60.0,90.36,70421.0,216.5,2650,0,5.0,3
620,2008,165,6.6,106115,53.0,49.55,30224.0,69.5,13581,99,5.0,2
621,2010,98,6.5,83788,44.0,23.23,13781.0,536.0,1482,0,4.666666666666667,2
622,2011,106,7.1,208632,0.0,62.45,80237.0,235.5,0,0,7.666666666666667,3
623,2016,88,6.5,5908,53.0,1.02,15370.666666666666,1037.3333333333333,0,0,6.0,1
624,2014,141,7.4,146812,48.0,47.11,40092.75,368.0,2408,134,6.0,2
625,2013,96,6.2,18437,50.0,5.73,24415.0,1229.6666666666667,1905,0,8.0,1
626,2009,150,6.0,335757,35.0,402.08,15369.0,711.0,11714,59,2.6666666666666665,4
627,2016,80,7.6,11482,86.0,0.92,0.0,0.0,0,0,7.0,1
628,2014,95,7.3,50388,67.0,50.15,16165.333333333334,558.3333333333334,0,0,4.333333333333333,3
629,2010,131,8.2,92863,80.0,6.86,4342.0,0.0,29887,0,11.333333333333334,1
630,2007,116,5.8,74664,46.0,36.77,20610.5,538.6666666666666,0,0,7.5,2
631,2006,108,6.5,141141,77.0,197.99,24178.75,143.0,3021,0,7.333333333333333,4
632,2015,104,6.6,64557,38.0,32.36,0.0,0.0,0,0,4.0,2
633,2008,86,6.2,96718,47.0,52.53,20033.0,456.0,0,0,11.0,3
634,2014,138,5.8,209700,68.0,101.16,42075.75,236.25,30689,113,2.0,3
635,2014,97,6.4,236500,68.0,150.06,9784.333333333334,566.5,3075,0,4.0,4
636,2013,123,6.7,65824,60.0,0.33,26026.0,848.5,7514,0,3.0,1
637,2014,115,7.1,95553,76.0,37.88,18609.5,254.0,7942,0,5.666666666666667,2
638,2010,102,6.0,190385,30.0,162.0,6101.5,207.5,0,124,4.0,4
639,2016,89,5.1,26088,47.0,20.75,0.0,0.0,0,0,10.5,2
640,2010,140,6.2,127983,61.0,176.59,9922.0,575.3333333333334,0,0,5.0,4
641,2012,113,6.2,209326,55.0,79.71,40228.5,502.75,30153,12,8.0,3
